[SYSTEM] 2026/03/05 00:19:51 200 | /api/auth/login [49.5471ms]
[SYSTEM] 2026/03/05 00:54:46 200 | /api/products [1.7643ms]
[SYSTEM] 2026/03/05 00:54:46 200 | /api/products [528.5µs]
[SYSTEM] 2026/03/05 00:54:48 200 | /api/products [1.5521ms]
[SYSTEM] 2026/03/05 00:54:48 200 | /api/products [960.6µs]
[SYSTEM] 2026/03/05 00:54:52 200 | /api/products [1.2384ms]
[SYSTEM] 2026/03/05 00:54:52 200 | /api/products [1.3503ms]
[SYSTEM] 2026/03/05 00:56:57 200 | /api/logs/system [7.0285ms]
[SYSTEM] 2026/03/05 00:56:57 200 | /api/logs/system [6.9877ms]
[SYSTEM] 2026/03/05 00:57:04 200 | /api/products [1.9278ms]
[SYSTEM] 2026/03/05 00:57:04 200 | /api/products [1.1285ms]
[SYSTEM] 2026/03/05 00:59:31 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ (ไม่มี access_token ใน cookie))
[SYSTEM] 2026/03/05 00:59:31 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ (ไม่มี access_token ใน cookie))
[SYSTEM] 2026/03/05 00:59:31 200 | /api/auth/refresh [3.6265ms]
[SYSTEM] 2026/03/05 00:59:31 200 | /api/auth/refresh [2.138ms]
[SYSTEM] 2026/03/05 00:59:31 200 | /api/logs/system [523.7µs]
[SYSTEM] 2026/03/05 00:59:31 200 | /api/logs/system [10.7636ms]
[SYSTEM] 2026/03/05 01:00:05 200 | /api/products [2.0535ms]
[SYSTEM] 2026/03/05 01:00:05 200 | /api/products [1.5797ms]
[SYSTEM] 2026/03/05 01:02:49 200 | /api/products [1.5688ms]
[SYSTEM] 2026/03/05 01:02:49 200 | /api/products [1.6058ms]
[SYSTEM] 2026/03/05 01:03:24 201 | /api/auth/register [58.2477ms]
[SYSTEM] 2026/03/05 01:03:24 200 | /api/products [1.4622ms]
[SYSTEM] 2026/03/05 01:03:24 200 | /api/products [1.0439ms]
[SYSTEM] 2026/03/05 01:12:17 200 | /api/products [1.6006ms]
[SYSTEM] 2026/03/05 01:12:17 200 | /api/products [1.5867ms]
[SYSTEM] 2026/03/05 01:12:20 200 | /api/auth/logout [0s]
[SYSTEM] 2026/03/05 01:12:34 200 | /api/auth/login [48.3615ms]
[SYSTEM] 2026/03/05 01:12:34 200 | /api/products [1.3226ms]
[SYSTEM] 2026/03/05 01:12:34 200 | /api/products [1.7738ms]
[SYSTEM] 2026/03/05 01:12:40 200 | /api/auth/logout [0s]
[SYSTEM] 2026/03/07 16:14:34 200 | /api/products [2.3006ms]
[SYSTEM] 2026/03/07 16:14:34 200 | /api/products [1.1197ms]
[SYSTEM] 2026/03/07 16:16:08 ERROR: /api/auth/login [44.6772ms] (error: ชื่อผู้ใช้หรือรหัสผ่านไม่ถูกต้อง)
[SYSTEM] 2026/03/07 16:16:14 200 | /api/auth/login [49.445ms]
[SYSTEM] 2026/03/07 16:16:14 200 | /api/products [1.5831ms]
[SYSTEM] 2026/03/07 16:16:14 200 | /api/products [505.3µs]
[SYSTEM] 2026/03/07 16:16:23 200 | /api/products [1.4241ms]
[SYSTEM] 2026/03/07 16:16:23 200 | /api/products [1.1002ms]
[SYSTEM] 2026/03/07 16:16:33 200 | /api/logs/system [7.6002ms]
[SYSTEM] 2026/03/07 16:16:33 200 | /api/logs/system [6.7768ms]
[SYSTEM] 2026/03/07 16:16:38 200 | /api/logs/auth [6.8633ms]
[SYSTEM] 2026/03/07 16:16:41 200 | /api/logs/system [7.5502ms]
[SYSTEM] 2026/03/07 16:16:43 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/07 16:16:44 200 | /api/logs/system [6.1619ms]
[SYSTEM] 2026/03/07 16:16:46 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/07 16:16:47 200 | /api/logs/system [8.211ms]
[SYSTEM] 2026/03/07 16:16:48 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/07 16:16:49 200 | /api/logs/system [7.4686ms]
[SYSTEM] 2026/03/07 16:16:50 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/07 16:16:51 200 | /api/logs/system [6.1477ms]
[SYSTEM] 2026/03/07 16:17:59 200 | /api/logs/system [1.5135ms]
[SYSTEM] 2026/03/07 16:18:00 200 | /api/logs/system [7.5098ms]
[SYSTEM] 2026/03/07 16:18:06 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/07 16:18:07 200 | /api/logs/auth [0s]
[SYSTEM] 2026/03/07 16:18:08 200 | /api/logs/system [7.1568ms]
[SYSTEM] 2026/03/07 16:19:10 200 | /api/logs/auth [0s]
[SYSTEM] 2026/03/07 16:19:11 200 | /api/logs/system [7.1345ms]
[SYSTEM] 2026/03/07 16:19:12 200 | /api/logs/auth [0s]
[SYSTEM] 2026/03/07 16:19:13 200 | /api/logs/system [7.6529ms]
[SYSTEM] 2026/03/07 16:19:15 200 | /api/logs/auth [0s]
[SYSTEM] 2026/03/07 16:19:16 200 | /api/logs/system [6.6642ms]
[SYSTEM] 2026/03/07 16:19:19 200 | /api/products [2.9977ms]
[SYSTEM] 2026/03/07 16:19:19 200 | /api/products [1.2212ms]
[SYSTEM] 2026/03/07 16:19:20 200 | /api/logs/system [7.2044ms]
[SYSTEM] 2026/03/07 16:19:20 200 | /api/logs/system [8.8782ms]
[SYSTEM] 2026/03/07 16:19:32 200 | /api/products [1.1988ms]
[SYSTEM] 2026/03/07 16:19:32 200 | /api/products [834.7µs]
[SYSTEM] 2026/03/07 16:19:36 200 | /api/products [1.3447ms]
[SYSTEM] 2026/03/07 16:19:36 200 | /api/products [902.6µs]
[SYSTEM] 2026/03/08 01:36:55 200 | /api/products [2.9025ms]
[SYSTEM] 2026/03/08 01:36:55 200 | /api/products [512.7µs]
[SYSTEM] 2026/03/08 01:37:00 200 | /api/products [1.0972ms]
[SYSTEM] 2026/03/08 01:37:00 200 | /api/products [2.6126ms]
[SYSTEM] 2026/03/08 01:37:04 200 | /api/auth/logout [0s]
[SYSTEM] 2026/03/08 01:37:12 200 | /api/auth/login [46.966ms]
[SYSTEM] 2026/03/08 01:37:12 200 | /api/products [954.3µs]
[SYSTEM] 2026/03/08 01:37:12 200 | /api/products [1.9905ms]
[SYSTEM] 2026/03/08 01:40:41 200 | /api/auth/logout [0s]
[SYSTEM] 2026/03/08 01:41:52 200 | /api/auth/login [43.5171ms]
[SYSTEM] 2026/03/08 01:41:52 200 | /api/products [1.7627ms]
[SYSTEM] 2026/03/08 01:41:52 200 | /api/products [1.1029ms]
[SYSTEM] 2026/03/08 01:42:00 200 | /api/auth/logout [0s]
[SYSTEM] 2026/03/08 01:42:47 200 | /api/auth/login [48.3246ms]
[SYSTEM] 2026/03/08 01:42:47 200 | /api/products [2.0464ms]
[SYSTEM] 2026/03/08 01:42:47 200 | /api/products [909.5µs]
[SYSTEM] 2026/03/08 01:43:05 200 | /api/auth/logout [516.3µs]
[SYSTEM] 2026/03/08 01:49:58 ERROR: /api/auth/login [45.2789ms] (error: ชื่อผู้ใช้หรือรหัสผ่านไม่ถูกต้อง)
[SYSTEM] 2026/03/08 01:50:04 200 | /api/auth/login [48.4711ms]
[SYSTEM] 2026/03/08 01:50:04 200 | /api/products [1.577ms]
[SYSTEM] 2026/03/08 01:50:04 200 | /api/products [1.7952ms]
[SYSTEM] 2026/03/08 01:50:21 200 | /api/products [1.3107ms]
[SYSTEM] 2026/03/08 01:50:21 200 | /api/products [1.3107ms]
[SYSTEM] 2026/03/08 01:50:43 200 | /api/products [1.7737ms]
[SYSTEM] 2026/03/08 01:50:43 200 | /api/products [1.0131ms]
[SYSTEM] 2026/03/08 02:34:38 200 | /api/products [2.1043ms]
[SYSTEM] 2026/03/08 02:34:38 200 | /api/products [14.0348ms]
[SYSTEM] 2026/03/08 02:34:40 200 | /api/auth/logout [4.9316ms]
[SYSTEM] 2026/03/08 02:36:18 200 | /api/auth/login [57.208ms]
[SYSTEM] 2026/03/08 02:36:18 200 | /api/products [2.5915ms]
[SYSTEM] 2026/03/08 02:36:18 200 | /api/products [1.4244ms]
[SYSTEM] 2026/03/08 02:36:26 200 | /api/products [960.1µs]
[SYSTEM] 2026/03/08 02:36:26 200 | /api/products [1.0144ms]
[SYSTEM] 2026/03/08 02:37:25 200 | /api/products [1.1356ms]
[SYSTEM] 2026/03/08 02:37:25 200 | /api/products [629.1µs]
[SYSTEM] 2026/03/08 02:37:39 200 | /api/auth/logout [12.3521ms]
[SYSTEM] 2026/03/08 02:38:17 200 | /api/auth/login [51.8617ms]
[SYSTEM] 2026/03/08 02:38:17 200 | /api/products [1.5857ms]
[SYSTEM] 2026/03/08 02:38:17 200 | /api/products [1.0974ms]
[SYSTEM] 2026/03/08 02:38:25 200 | /api/products [1.7871ms]
[SYSTEM] 2026/03/08 02:38:25 200 | /api/products [1.0109ms]
[SYSTEM] 2026/03/08 02:38:54 200 | /api/products [1.5743ms]
[SYSTEM] 2026/03/08 02:38:54 200 | /api/products [1.4857ms]
[SYSTEM] 2026/03/08 02:51:24 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:51:24 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:51:24 200 | /api/auth/refresh [12.4608ms]
[SYSTEM] 2026/03/08 02:51:24 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:51:24 ERROR: /api/auth/refresh [43.5771ms] (error: refresh token ไม่ถูกต้อง)
[SYSTEM] 2026/03/08 02:52:37 200 | /api/auth/login [54.2218ms]
[SYSTEM] 2026/03/08 02:52:37 200 | /api/products [3.1417ms]
[SYSTEM] 2026/03/08 02:52:37 200 | /api/products [2.2808ms]
[SYSTEM] 2026/03/08 02:53:05 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:53:05 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:53:05 200 | /api/auth/refresh [8.3374ms]
[SYSTEM] 2026/03/08 02:53:05 200 | /api/auth/refresh [10.3952ms]
[SYSTEM] 2026/03/08 02:53:05 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:53:05 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:53:27 200 | /api/products [1.6153ms]
[SYSTEM] 2026/03/08 02:53:27 200 | /api/products [1.1113ms]
[SYSTEM] 2026/03/08 02:53:29 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:53:29 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:53:29 200 | /api/auth/refresh [25.2232ms]
[SYSTEM] 2026/03/08 02:53:29 200 | /api/auth/refresh [27.0311ms]
[SYSTEM] 2026/03/08 02:53:29 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:53:29 ERROR: /api/logs/system [515.1µs] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:53:33 200 | /api/products [2.4621ms]
[SYSTEM] 2026/03/08 02:53:33 200 | /api/products [1.8028ms]
[SYSTEM] 2026/03/08 02:53:36 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:53:36 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:53:36 200 | /api/auth/refresh [8.4441ms]
[SYSTEM] 2026/03/08 02:53:36 200 | /api/auth/refresh [5.6463ms]
[SYSTEM] 2026/03/08 02:53:36 ERROR: /api/logs/system [0s] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:53:36 ERROR: /api/logs/system [640.9µs] (error: กรุณาเข้าสู่ระบบ)
[SYSTEM] 2026/03/08 02:55:55 200 | /api/products [1.9054ms]
[SYSTEM] 2026/03/08 02:55:55 200 | /api/products [12.4341ms]
[SYSTEM] 2026/03/08 02:56:19 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 02:56:19 ERROR: /api/logs/system [726.9µs] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 02:56:19 200 | /api/auth/refresh [13.5878ms]
[SYSTEM] 2026/03/08 02:56:19 ERROR: /api/auth/refresh [15.02ms] (error: refresh token ไม่ถูกต้อง)
[SYSTEM] 2026/03/08 02:56:19 200 | /api/logs/system [10.077ms]
[SYSTEM] 2026/03/08 02:57:12 200 | /api/auth/login [56.911ms]
[SYSTEM] 2026/03/08 02:57:12 200 | /api/products [1.8168ms]
[SYSTEM] 2026/03/08 02:57:12 200 | /api/products [2.387ms]
[SYSTEM] 2026/03/08 02:57:17 200 | /api/logs/system [8.3878ms]
[SYSTEM] 2026/03/08 02:57:17 200 | /api/logs/system [7.2754ms]
[SYSTEM] 2026/03/08 02:57:27 200 | /api/logs/auth [7.2011ms]
[SYSTEM] 2026/03/08 02:57:30 200 | /api/products [1.4275ms]
[SYSTEM] 2026/03/08 02:57:30 200 | /api/products [1.4275ms]
[SYSTEM] 2026/03/08 03:02:08 200 | /api/products [1.3727ms]
[SYSTEM] 2026/03/08 03:02:08 200 | /api/products [1.3727ms]
[SYSTEM] 2026/03/08 03:02:12 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:02:12 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:02:12 200 | /api/auth/refresh [7.3866ms]
[SYSTEM] 2026/03/08 03:02:12 200 | /api/auth/refresh [8.3749ms]
[SYSTEM] 2026/03/08 03:02:12 200 | /api/logs/system [8.5441ms]
[SYSTEM] 2026/03/08 03:02:12 200 | /api/logs/system [7.4447ms]
[SYSTEM] 2026/03/08 03:02:31 200 | /api/logs/system [506.7µs]
[SYSTEM] 2026/03/08 03:02:31 200 | /api/logs/system [9.5742ms]
[SYSTEM] 2026/03/08 03:14:42 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:14:42 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:14:42 200 | /api/auth/refresh [10.3617ms]
[SYSTEM] 2026/03/08 03:14:42 200 | /api/auth/refresh [14.9104ms]
[SYSTEM] 2026/03/08 03:14:42 200 | /api/logs/system [6.7893ms]
[SYSTEM] 2026/03/08 03:14:42 200 | /api/logs/system [9.8732ms]
[SYSTEM] 2026/03/08 03:14:45 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/08 03:14:45 200 | /api/logs/system [8.2375ms]
[SYSTEM] 2026/03/08 03:14:46 200 | /api/logs/system [525.1µs]
[SYSTEM] 2026/03/08 03:14:46 200 | /api/logs/system [9.5631ms]
[SYSTEM] 2026/03/08 03:14:48 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/08 03:14:48 200 | /api/logs/system [7.8307ms]
[SYSTEM] 2026/03/08 03:14:50 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/08 03:14:50 200 | /api/logs/system [8.363ms]
[SYSTEM] 2026/03/08 03:14:51 200 | /api/logs/system [507µs]
[SYSTEM] 2026/03/08 03:14:51 200 | /api/logs/system [7.9132ms]
[SYSTEM] 2026/03/08 03:14:53 200 | /api/logs/system [647.4µs]
[SYSTEM] 2026/03/08 03:14:53 200 | /api/logs/system [8.9188ms]
[SYSTEM] 2026/03/08 03:14:57 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/08 03:14:57 200 | /api/logs/system [8.632ms]
[SYSTEM] 2026/03/08 03:14:59 200 | /api/logs/system [762.9µs]
[SYSTEM] 2026/03/08 03:14:59 200 | /api/logs/system [8.5694ms]
[SYSTEM] 2026/03/08 03:15:53 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:15:53 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:15:53 200 | /api/auth/refresh [7.3026ms]
[SYSTEM] 2026/03/08 03:15:53 200 | /api/auth/refresh [9.1826ms]
[SYSTEM] 2026/03/08 03:15:53 200 | /api/logs/system [8.1285ms]
[SYSTEM] 2026/03/08 03:15:53 200 | /api/logs/system [7.3337ms]
[SYSTEM] 2026/03/08 03:17:22 ERROR: /api/logs/auth [1.0058ms] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:17:22 200 | /api/auth/refresh [10.0482ms]
[SYSTEM] 2026/03/08 03:17:22 200 | /api/logs/auth [996.9µs]
[SYSTEM] 2026/03/08 03:17:24 200 | /api/products [1.2922ms]
[SYSTEM] 2026/03/08 03:17:24 200 | /api/products [10.6461ms]
[SYSTEM] 2026/03/08 03:17:26 200 | /api/auth/logout [15.4975ms]
[SYSTEM] 2026/03/08 03:17:33 200 | /api/auth/login [54.8944ms]
[SYSTEM] 2026/03/08 03:17:33 200 | /api/products [1.2764ms]
[SYSTEM] 2026/03/08 03:17:33 200 | /api/products [906.9µs]
[SYSTEM] 2026/03/08 03:17:40 200 | /api/logs/system [9.5355ms]
[SYSTEM] 2026/03/08 03:17:40 200 | /api/logs/system [8.518ms]
[SYSTEM] 2026/03/08 03:17:42 200 | /api/logs/auth [6.3882ms]
[SYSTEM] 2026/03/08 03:17:43 200 | /api/logs/system [7.7233ms]
[SYSTEM] 2026/03/08 03:17:44 200 | /api/products [1.0926ms]
[SYSTEM] 2026/03/08 03:17:44 200 | /api/products [1.143ms]
[SYSTEM] 2026/03/08 03:17:46 200 | /api/logs/system [8.9508ms]
[SYSTEM] 2026/03/08 03:17:46 200 | /api/logs/system [6.8169ms]
[SYSTEM] 2026/03/08 03:17:47 200 | /api/products [1.5479ms]
[SYSTEM] 2026/03/08 03:17:47 200 | /api/products [1.0883ms]
[SYSTEM] 2026/03/08 03:22:08 200 | /api/auth/logout [7.4052ms]
[SYSTEM] 2026/03/08 03:23:34 200 | /api/auth/login [55.3394ms]
[SYSTEM] 2026/03/08 03:23:34 200 | /api/products [2.5429ms]
[SYSTEM] 2026/03/08 03:23:34 200 | /api/products [1.0202ms]
[SYSTEM] 2026/03/08 03:23:38 200 | /api/logs/system [7.3732ms]
[SYSTEM] 2026/03/08 03:23:38 200 | /api/logs/system [6.4228ms]
[SYSTEM] 2026/03/08 03:23:39 200 | /api/products [1.4323ms]
[SYSTEM] 2026/03/08 03:23:39 200 | /api/products [761.6µs]
[SYSTEM] 2026/03/08 03:24:59 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:24:59 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:24:59 200 | /api/auth/refresh [7.3398ms]
[SYSTEM] 2026/03/08 03:24:59 200 | /api/auth/refresh [11.051ms]
[SYSTEM] 2026/03/08 03:24:59 200 | /api/logs/system [8.4367ms]
[SYSTEM] 2026/03/08 03:24:59 200 | /api/logs/system [6.3329ms]
[SYSTEM] 2026/03/08 03:25:04 200 | /api/logs/system [0s]
[SYSTEM] 2026/03/08 03:25:04 200 | /api/logs/system [9.9098ms]
[SYSTEM] 2026/03/08 03:26:35 ERROR: /api/logs/auth [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
[SYSTEM] 2026/03/08 03:26:35 200 | /api/auth/refresh [8.1993ms]
[SYSTEM] 2026/03/08 03:26:35 200 | /api/logs/auth [7.958ms]
[SYSTEM] 2026/03/08 03:26:37 200 | /api/logs/system [6.5651ms]
[SYSTEM] 2026/03/08 03:27:03 200 | /api/products [1.8899ms]
[SYSTEM] 2026/03/08 03:27:03 200 | /api/products [1.1318ms]
[SYSTEM] 2026/03/08 03:28:14 200 | /api/products [1.2251ms]
[SYSTEM] 2026/03/08 03:28:14 200 | /api/products [1.2994ms]
[SYSTEM] 2026/03/08 03:28:17 200 | /api/products [1.3864ms]
[SYSTEM] 2026/03/08 03:28:17 200 | /api/products [1.422ms]
[SYSTEM] 2026/03/08 03:28:31 ERROR: /api/logs/system [0s] (error: token ไม่ถูกต้องหรือหมดอายุ)
